language,query,medicine,intent
en,What conditions is Glimepiride used for?,Glimepiride,uses
en,What are the side effects of Glimepiride?,Glimepiride,side_effects
en,Can Glimepiride cause any side effects?,Glimepiride,side_effects
en,What problems can Glimepiride cause?,Glimepiride,side_effects
en,Who should not take Glimepiride?,Glimepiride,contraindications
en,When should Glimepiride not be used?,Glimepiride,contraindications
en,Who should avoid Glimepiride?,Glimepiride,contraindications
en,What warnings should I know about Glimepiride?,Glimepiride,warnings
en,Are there any warnings about Glimepiride?,Glimepiride,warnings
en,What should I be careful about when taking Glimepiride?,Glimepiride,warnings
en,Does Glimepiride interact with other medicines?,Glimepiride,interactions
en,Can Glimepiride interact with other drugs?,Glimepiride,interactions
en,What medicines can interact with Glimepiride?,Glimepiride,interactions
en,How should Glimepiride be taken?,Glimepiride,dosage
en,How do I take Glimepiride?,Glimepiride,dosage
en,What is the dosage information for Glimepiride?,Glimepiride,dosage
en,What is Sitagliptin?,Sitagliptin,medicine_info
en,Tell me about Sitagliptin.,Sitagliptin,medicine_info
en,What do I need to know about Sitagliptin?,Sitagliptin,medicine_info
en,What is Sitagliptin used for?,Sitagliptin,uses
en,Why is Sitagliptin used?,Sitagliptin,uses
en,What conditions is Sitagliptin used for?,Sitagliptin,uses
en,What are the side effects of Sitagliptin?,Sitagliptin,side_effects
en,Can Sitagliptin cause any side effects?,Sitagliptin,side_effects
en,What problems can Sitagliptin cause?,Sitagliptin,side_effects
en,Who should not take Sitagliptin?,Sitagliptin,contraindications
en,When should Sitagliptin not be used?,Sitagliptin,contraindications
en,Who should avoid Sitagliptin?,Sitagliptin,contraindications
en,What warnings should I know about Sitagliptin?,Sitagliptin,warnings
en,Are there any warnings about Sitagliptin?,Sitagliptin,warnings
en,What should I be careful about when taking Sitagliptin?,Sitagliptin,warnings
en,Does Sitagliptin interact with other medicines?,Sitagliptin,interactions
en,Can Sitagliptin interact with other drugs?,Sitagliptin,interactions
en,What medicines can interact with Sitagliptin?,Sitagliptin,interactions
en,How should Sitagliptin be taken?,Sitagliptin,dosage
en,How do I take Sitagliptin?,Sitagliptin,dosage
en,What is the dosage information for Sitagliptin?,Sitagliptin,dosage
en,What is Empagliflozin?,Empagliflozin,medicine_info
en,Tell me about Empagliflozin.,Empagliflozin,medicine_info
en,What do I need to know about Empagliflozin?,Empagliflozin,medicine_info
en,What is Empagliflozin used for?,Empagliflozin,uses
en,Why is Empagliflozin used?,Empagliflozin,uses
en,What conditions is Empagliflozin used for?,Empagliflozin,uses
en,What are the side effects of Empagliflozin?,Empagliflozin,side_effects
en,Can Empagliflozin cause any side effects?,Empagliflozin,side_effects
en,What problems can Empagliflozin cause?,Empagliflozin,side_effects
en,Who should not take Empagliflozin?,Empagliflozin,contraindications
en,When should Empagliflozin not be used?,Empagliflozin,contraindications
en,Who should avoid Empagliflozin?,Empagliflozin,contraindications
en,What warnings should I know about Empagliflozin?,Empagliflozin,warnings
en,Are there any warnings about Empagliflozin?,Empagliflozin,warnings
en,What should I be careful about when taking Empagliflozin?,Empagliflozin,warnings
en,Does Empagliflozin interact with other medicines?,Empagliflozin,interactions
en,Can Empagliflozin interact with other drugs?,Empagliflozin,interactions
en,What medicines can interact with Empagliflozin?,Empagliflozin,interactions
en,How should Empagliflozin be taken?,Empagliflozin,dosage
en,How do I take Empagliflozin?,Empagliflozin,dosage
en,What is the dosage information for Empagliflozin?,Empagliflozin,dosage
en,What is Pioglitazone?,Pioglitazone,medicine_info
en,Tell me about Pioglitazone.,Pioglitazone,medicine_info
en,What do I need to know about Pioglitazone?,Pioglitazone,medicine_info
en,What is Pioglitazone used for?,Pioglitazone,uses
en,Why is Pioglitazone used?,Pioglitazone,uses
en,What conditions is Pioglitazone used for?,Pioglitazone,uses
en,What are the side effects of Pioglitazone?,Pioglitazone,side_effects
en,Can Pioglitazone cause any side effects?,Pioglitazone,side_effects
en,What problems can Pioglitazone cause?,Pioglitazone,side_effects
en,Who should not take Pioglitazone?,Pioglitazone,contraindications
en,When should Pioglitazone not be used?,Pioglitazone,contraindications
en,Who should avoid Pioglitazone?,Pioglitazone,contraindications
en,What warnings should I know about Pioglitazone?,Pioglitazone,warnings
en,Are there any warnings about Pioglitazone?,Pioglitazone,warnings
en,What should I be careful about when taking Pioglitazone?,Pioglitazone,warnings
en,Does Pioglitazone interact with other medicines?,Pioglitazone,interactions
en,Can Pioglitazone interact with other drugs?,Pioglitazone,interactions
en,What medicines can interact with Pioglitazone?,Pioglitazone,interactions
en,How should Pioglitazone be taken?,Pioglitazone,dosage
en,How do I take Pioglitazone?,Pioglitazone,dosage
en,What is the dosage information for Pioglitazone?,Pioglitazone,dosage
en,What is Insulin Glargine?,Insulin Glargine,medicine_info
en,Tell me about Insulin Glargine.,Insulin Glargine,medicine_info
en,What do I need to know about Insulin Glargine?,Insulin Glargine,medicine_info
en,What is Insulin Glargine used for?,Insulin Glargine,uses
en,Why is Insulin Glargine used?,Insulin Glargine,uses
en,What conditions is Insulin Glargine used for?,Insulin Glargine,uses
en,What are the side effects of Insulin Glargine?,Insulin Glargine,side_effects
en,Can Insulin Glargine cause any side effects?,Insulin Glargine,side_effects
en,What problems can Insulin Glargine cause?,Insulin Glargine,side_effects
en,Who should not take Insulin Glargine?,Insulin Glargine,contraindications
en,When should Insulin Glargine not be used?,Insulin Glargine,contraindications
en,Who should avoid Insulin Glargine?,Insulin Glargine,contraindications
en,What warnings should I know about Insulin Glargine?,Insulin Glargine,warnings
en,Are there any warnings about Insulin Glargine?,Insulin Glargine,warnings
en,What should I be careful about when taking Insulin Glargine?,Insulin Glargine,warnings
en,Does Insulin Glargine interact with other medicines?,Insulin Glargine,interactions
en,Can Insulin Glargine interact with other drugs?,Insulin Glargine,interactions
en,What medicines can interact with Insulin Glargine?,Insulin Glargine,interactions
en,How should Insulin Glargine be taken?,Insulin Glargine,dosage
en,How do I take Insulin Glargine?,Insulin Glargine,dosage
en,What is the dosage information for Insulin Glargine?,Insulin Glargine,dosage
en,What is Dapagliflozin?,Dapagliflozin,medicine_info
en,Tell me about Dapagliflozin.,Dapagliflozin,medicine_info
en,What do I need to know about Dapagliflozin?,Dapagliflozin,medicine_info
en,What is Dapagliflozin used for?,Dapagliflozin,uses
en,Why is Dapagliflozin used?,Dapagliflozin,uses
en,What conditions is Dapagliflozin used for?,Dapagliflozin,uses
en,What are the side effects of Dapagliflozin?,Dapagliflozin,side_effects
en,Can Dapagliflozin cause any side effects?,Dapagliflozin,side_effects
en,What problems can Dapagliflozin cause?,Dapagliflozin,side_effects
en,Who should not take Dapagliflozin?,Dapagliflozin,contraindications
en,When should Dapagliflozin not be used?,Dapagliflozin,contraindications
en,Who should avoid Dapagliflozin?,Dapagliflozin,contraindications
en,What warnings should I know about Dapagliflozin?,Dapagliflozin,warnings
en,Are there any warnings about Dapagliflozin?,Dapagliflozin,warnings
en,What should I be careful about when taking Dapagliflozin?,Dapagliflozin,warnings
en,Does Dapagliflozin interact with other medicines?,Dapagliflozin,interactions
en,Can Dapagliflozin interact with other drugs?,Dapagliflozin,interactions
en,What medicines can interact with Dapagliflozin?,Dapagliflozin,interactions
en,How should Dapagliflozin be taken?,Dapagliflozin,dosage
en,How do I take Dapagliflozin?,Dapagliflozin,dosage
en,What is the dosage information for Dapagliflozin?,Dapagliflozin,dosage
en,What is Vildagliptin?,Vildagliptin,medicine_info
en,Tell me about Vildagliptin.,Vildagliptin,medicine_info
en,What do I need to know about Vildagliptin?,Vildagliptin,medicine_info
en,What is Vildagliptin used for?,Vildagliptin,uses
en,Why is Vildagliptin used?,Vildagliptin,uses
en,What conditions is Vildagliptin used for?,Vildagliptin,uses
en,What are the side effects of Vildagliptin?,Vildagliptin,side_effects
en,Can Vildagliptin cause any side effects?,Vildagliptin,side_effects
en,What problems can Vildagliptin cause?,Vildagliptin,side_effects
en,Who should not take Vildagliptin?,Vildagliptin,contraindications
en,When should Vildagliptin not be used?,Vildagliptin,contraindications
en,Who should avoid Vildagliptin?,Vildagliptin,contraindications
en,What warnings should I know about Vildagliptin?,Vildagliptin,warnings
en,Are there any warnings about Vildagliptin?,Vildagliptin,warnings
en,What should I be careful about when taking Vildagliptin?,Vildagliptin,warnings
en,Does Vildagliptin interact with other medicines?,Vildagliptin,interactions
en,Can Vildagliptin interact with other drugs?,Vildagliptin,interactions
en,What medicines can interact with Vildagliptin?,Vildagliptin,interactions
en,How should Vildagliptin be taken?,Vildagliptin,dosage
en,How do I take Vildagliptin?,Vildagliptin,dosage
en,What is the dosage information for Vildagliptin?,Vildagliptin,dosage
en,What is Acarbose?,Acarbose,medicine_info
en,Tell me about Acarbose.,Acarbose,medicine_info
en,What do I need to know about Acarbose?,Acarbose,medicine_info
en,What is Acarbose used for?,Acarbose,uses
en,Why is Acarbose used?,Acarbose,uses
en,What conditions is Acarbose used for?,Acarbose,uses
en,What are the side effects of Acarbose?,Acarbose,side_effects
en,Can Acarbose cause any side effects?,Acarbose,side_effects
en,What problems can Acarbose cause?,Acarbose,side_effects
en,Who should not take Acarbose?,Acarbose,contraindications
en,When should Acarbose not be used?,Acarbose,contraindications
en,Who should avoid Acarbose?,Acarbose,contraindications
en,What warnings should I know about Acarbose?,Acarbose,warnings
en,Are there any warnings about Acarbose?,Acarbose,warnings
en,What should I be careful about when taking Acarbose?,Acarbose,warnings
en,Does Acarbose interact with other medicines?,Acarbose,interactions
en,Can Acarbose interact with other drugs?,Acarbose,interactions
en,What medicines can interact with Acarbose?,Acarbose,interactions
en,How should Acarbose be taken?,Acarbose,dosage
en,How do I take Acarbose?,Acarbose,dosage
en,What is the dosage information for Acarbose?,Acarbose,dosage
en,What is Amlodipine?,Amlodipine,medicine_info
en,Tell me about Amlodipine.,Amlodipine,medicine_info
en,What do I need to know about Amlodipine?,Amlodipine,medicine_info
en,What is Amlodipine used for?,Amlodipine,uses
en,Why is Amlodipine used?,Amlodipine,uses
en,What conditions is Amlodipine used for?,Amlodipine,uses
en,What are the side effects of Amlodipine?,Amlodipine,side_effects
en,Can Amlodipine cause any side effects?,Amlodipine,side_effects
en,What problems can Amlodipine cause?,Amlodipine,side_effects
en,Who should not take Amlodipine?,Amlodipine,contraindications
en,When should Amlodipine not be used?,Amlodipine,contraindications
en,Who should avoid Amlodipine?,Amlodipine,contraindications
en,What warnings should I know about Amlodipine?,Amlodipine,warnings
en,Are there any warnings about Amlodipine?,Amlodipine,warnings
en,What should I be careful about when taking Amlodipine?,Amlodipine,warnings
en,Does Amlodipine interact with other medicines?,Amlodipine,interactions
en,Can Amlodipine interact with other drugs?,Amlodipine,interactions
en,What medicines can interact with Amlodipine?,Amlodipine,interactions
en,How should Amlodipine be taken?,Amlodipine,dosage
en,How do I take Amlodipine?,Amlodipine,dosage
en,What is the dosage information for Amlodipine?,Amlodipine,dosage
en,What is Losartan?,Losartan,medicine_info
en,Tell me about Losartan.,Losartan,medicine_info
en,What do I need to know about Losartan?,Losartan,medicine_info
en,What is Losartan used for?,Losartan,uses
en,Why is Losartan used?,Losartan,uses
en,What conditions is Losartan used for?,Losartan,uses
en,What are the side effects of Losartan?,Losartan,side_effects
en,Can Losartan cause any side effects?,Losartan,side_effects
en,What problems can Losartan cause?,Losartan,side_effects
en,Who should not take Losartan?,Losartan,contraindications
en,When should Losartan not be used?,Losartan,contraindications
en,Who should avoid Losartan?,Losartan,contraindications
en,What warnings should I know about Losartan?,Losartan,warnings
en,Are there any warnings about Losartan?,Losartan,warnings
en,What should I be careful about when taking Losartan?,Losartan,warnings
en,Does Losartan interact with other medicines?,Losartan,interactions
en,Can Losartan interact with other drugs?,Losartan,interactions
en,What medicines can interact with Losartan?,Losartan,interactions
en,How should Losartan be taken?,Losartan,dosage
en,How do I take Losartan?,Losartan,dosage
en,What is the dosage information for Losartan?,Losartan,dosage
en,What is Enalapril?,Enalapril,medicine_info
en,Tell me about Enalapril.,Enalapril,medicine_info
en,What do I need to know about Enalapril?,Enalapril,medicine_info
en,What is Enalapril used for?,Enalapril,uses
en,Why is Enalapril used?,Enalapril,uses
en,What conditions is Enalapril used for?,Enalapril,uses
en,What are the side effects of Enalapril?,Enalapril,side_effects
en,Can Enalapril cause any side effects?,Enalapril,side_effects
en,What problems can Enalapril cause?,Enalapril,side_effects
en,Who should not take Enalapril?,Enalapril,contraindications
en,When should Enalapril not be used?,Enalapril,contraindications
en,Who should avoid Enalapril?,Enalapril,contraindications
en,What warnings should I know about Enalapril?,Enalapril,warnings
en,Are there any warnings about Enalapril?,Enalapril,warnings
en,What should I be careful about when taking Enalapril?,Enalapril,warnings
en,Does Enalapril interact with other medicines?,Enalapril,interactions
en,Can Enalapril interact with other drugs?,Enalapril,interactions
en,What medicines can interact with Enalapril?,Enalapril,interactions
en,How should Enalapril be taken?,Enalapril,dosage
en,How do I take Enalapril?,Enalapril,dosage
en,What is the dosage information for Enalapril?,Enalapril,dosage
en,What is Telmisartan?,Telmisartan,medicine_info
en,Tell me about Telmisartan.,Telmisartan,medicine_info
en,What do I need to know about Telmisartan?,Telmisartan,medicine_info
en,What is Telmisartan used for?,Telmisartan,uses
en,Why is Telmisartan used?,Telmisartan,uses
en,What conditions is Telmisartan used for?,Telmisartan,uses
en,What are the side effects of Telmisartan?,Telmisartan,side_effects
en,Can Telmisartan cause any side effects?,Telmisartan,side_effects
en,What problems can Telmisartan cause?,Telmisartan,side_effects
en,Who should not take Telmisartan?,Telmisartan,contraindications
en,When should Telmisartan not be used?,Telmisartan,contraindications
en,Who should avoid Telmisartan?,Telmisartan,contraindications
en,What warnings should I know about Telmisartan?,Telmisartan,warnings
en,Are there any warnings about Telmisartan?,Telmisartan,warnings
en,What should I be careful about when taking Telmisartan?,Telmisartan,warnings
en,Does Telmisartan interact with other medicines?,Telmisartan,interactions
en,Can Telmisartan interact with other drugs?,Telmisartan,interactions
en,What medicines can interact with Telmisartan?,Telmisartan,interactions
en,How should Telmisartan be taken?,Telmisartan,dosage
en,How do I take Telmisartan?,Telmisartan,dosage
en,What is the dosage information for Telmisartan?,Telmisartan,dosage
en,What is Hydrochlorothiazide?,Hydrochlorothiazide,medicine_info
en,Tell me about Hydrochlorothiazide.,Hydrochlorothiazide,medicine_info
en,What do I need to know about Hydrochlorothiazide?,Hydrochlorothiazide,medicine_info
en,What is Hydrochlorothiazide used for?,Hydrochlorothiazide,uses
en,Why is Hydrochlorothiazide used?,Hydrochlorothiazide,uses
en,What conditions is Hydrochlorothiazide used for?,Hydrochlorothiazide,uses
en,What are the side effects of Hydrochlorothiazide?,Hydrochlorothiazide,side_effects
en,Can Hydrochlorothiazide cause any side effects?,Hydrochlorothiazide,side_effects
en,What problems can Hydrochlorothiazide cause?,Hydrochlorothiazide,side_effects
en,Who should not take Hydrochlorothiazide?,Hydrochlorothiazide,contraindications
en,When should Hydrochlorothiazide not be used?,Hydrochlorothiazide,contraindications
en,Who should avoid Hydrochlorothiazide?,Hydrochlorothiazide,contraindications
en,What warnings should I know about Hydrochlorothiazide?,Hydrochlorothiazide,warnings
en,Are there any warnings about Hydrochlorothiazide?,Hydrochlorothiazide,warnings
en,What should I be careful about when taking Hydrochlorothiazide?,Hydrochlorothiazide,warnings
en,Does Hydrochlorothiazide interact with other medicines?,Hydrochlorothiazide,interactions
en,Can Hydrochlorothiazide interact with other drugs?,Hydrochlorothiazide,interactions
en,What medicines can interact with Hydrochlorothiazide?,Hydrochlorothiazide,interactions
en,How should Hydrochlorothiazide be taken?,Hydrochlorothiazide,dosage
en,How do I take Hydrochlorothiazide?,Hydrochlorothiazide,dosage
en,What is the dosage information for Hydrochlorothiazide?,Hydrochlorothiazide,dosage
en,What is Atenolol?,Atenolol,medicine_info
en,Tell me about Atenolol.,Atenolol,medicine_info
en,What do I need to know about Atenolol?,Atenolol,medicine_info
en,What is Atenolol used for?,Atenolol,uses
en,Why is Atenolol used?,Atenolol,uses
en,What conditions is Atenolol used for?,Atenolol,uses
en,What are the side effects of Atenolol?,Atenolol,side_effects
en,Can Atenolol cause any side effects?,Atenolol,side_effects
en,What problems can Atenolol cause?,Atenolol,side_effects
en,Who should not take Atenolol?,Atenolol,contraindications
en,When should Atenolol not be used?,Atenolol,contraindications
en,Who should avoid Atenolol?,Atenolol,contraindications
en,What warnings should I know about Atenolol?,Atenolol,warnings
en,Are there any warnings about Atenolol?,Atenolol,warnings
en,What should I be careful about when taking Atenolol?,Atenolol,warnings
en,Does Atenolol interact with other medicines?,Atenolol,interactions
en,Can Atenolol interact with other drugs?,Atenolol,interactions
en,What medicines can interact with Atenolol?,Atenolol,interactions
en,How should Atenolol be taken?,Atenolol,dosage
en,How do I take Atenolol?,Atenolol,dosage
en,What is the dosage information for Atenolol?,Atenolol,dosage
en,What is Ramipril?,Ramipril,medicine_info
en,Tell me about Ramipril.,Ramipril,medicine_info
en,What do I need to know about Ramipril?,Ramipril,medicine_info
en,What is Ramipril used for?,Ramipril,uses
en,Why is Ramipril used?,Ramipril,uses
en,What conditions is Ramipril used for?,Ramipril,uses
en,What are the side effects of Ramipril?,Ramipril,side_effects
en,Can Ramipril cause any side effects?,Ramipril,side_effects
en,What problems can Ramipril cause?,Ramipril,side_effects
en,Who should not take Ramipril?,Ramipril,contraindications
en,When should Ramipril not be used?,Ramipril,contraindications
en,Who should avoid Ramipril?,Ramipril,contraindications
en,What warnings should I know about Ramipril?,Ramipril,warnings
en,Are there any warnings about Ramipril?,Ramipril,warnings
en,What should I be careful about when taking Ramipril?,Ramipril,warnings
en,Does Ramipril interact with other medicines?,Ramipril,interactions
en,Can Ramipril interact with other drugs?,Ramipril,interactions
en,What medicines can interact with Ramipril?,Ramipril,interactions
en,How should Ramipril be taken?,Ramipril,dosage
en,How do I take Ramipril?,Ramipril,dosage
en,What is the dosage information for Ramipril?,Ramipril,dosage
en,What is Chlorthalidone?,Chlorthalidone,medicine_info
en,Tell me about Chlorthalidone.,Chlorthalidone,medicine_info
en,What do I need to know about Chlorthalidone?,Chlorthalidone,medicine_info
en,What is Chlorthalidone used for?,Chlorthalidone,uses
en,Why is Chlorthalidone used?,Chlorthalidone,uses
en,What conditions is Chlorthalidone used for?,Chlorthalidone,uses
en,What are the side effects of Chlorthalidone?,Chlorthalidone,side_effects
en,Can Chlorthalidone cause any side effects?,Chlorthalidone,side_effects
en,What problems can Chlorthalidone cause?,Chlorthalidone,side_effects
en,Who should not take Chlorthalidone?,Chlorthalidone,contraindications
en,When should Chlorthalidone not be used?,Chlorthalidone,contraindications
en,Who should avoid Chlorthalidone?,Chlorthalidone,contraindications
en,What warnings should I know about Chlorthalidone?,Chlorthalidone,warnings
en,Are there any warnings about Chlorthalidone?,Chlorthalidone,warnings
en,What should I be careful about when taking Chlorthalidone?,Chlorthalidone,warnings
en,Does Chlorthalidone interact with other medicines?,Chlorthalidone,interactions
en,Can Chlorthalidone interact with other drugs?,Chlorthalidone,interactions
en,What medicines can interact with Chlorthalidone?,Chlorthalidone,interactions
en,How should Chlorthalidone be taken?,Chlorthalidone,dosage
en,How do I take Chlorthalidone?,Chlorthalidone,dosage
en,What is the dosage information for Chlorthalidone?,Chlorthalidone,dosage
en,What is Carvedilol?,Carvedilol,medicine_info
en,Tell me about Carvedilol.,Carvedilol,medicine_info
en,What do I need to know about Carvedilol?,Carvedilol,medicine_info
en,What is Carvedilol used for?,Carvedilol,uses
en,Why is Carvedilol used?,Carvedilol,uses
en,What conditions is Carvedilol used for?,Carvedilol,uses
en,What are the side effects of Carvedilol?,Carvedilol,side_effects
en,Can Carvedilol cause any side effects?,Carvedilol,side_effects
en,What problems can Carvedilol cause?,Carvedilol,side_effects
en,Who should not take Carvedilol?,Carvedilol,contraindications
en,When should Carvedilol not be used?,Carvedilol,contraindications
en,Who should avoid Carvedilol?,Carvedilol,contraindications
en,What warnings should I know about Carvedilol?,Carvedilol,warnings
en,Are there any warnings about Carvedilol?,Carvedilol,warnings
en,What should I be careful about when taking Carvedilol?,Carvedilol,warnings
en,Does Carvedilol interact with other medicines?,Carvedilol,interactions
en,Can Carvedilol interact with other drugs?,Carvedilol,interactions
en,What medicines can interact with Carvedilol?,Carvedilol,interactions
en,How should Carvedilol be taken?,Carvedilol,dosage
en,How do I take Carvedilol?,Carvedilol,dosage
en,What is the dosage information for Carvedilol?,Carvedilol,dosage
en,What is Clonidine?,Clonidine,medicine_info
en,Tell me about Clonidine.,Clonidine,medicine_info
en,What do I need to know about Clonidine?,Clonidine,medicine_info
en,What is Clonidine used for?,Clonidine,uses
en,Why is Clonidine used?,Clonidine,uses
en,What conditions is Clonidine used for?,Clonidine,uses
en,What are the side effects of Clonidine?,Clonidine,side_effects
en,Can Clonidine cause any side effects?,Clonidine,side_effects
en,What problems can Clonidine cause?,Clonidine,side_effects
en,Who should not take Clonidine?,Clonidine,contraindications
en,When should Clonidine not be used?,Clonidine,contraindications
en,Who should avoid Clonidine?,Clonidine,contraindications
en,What warnings should I know about Clonidine?,Clonidine,warnings
en,Are there any warnings about Clonidine?,Clonidine,warnings
en,What should I be careful about when taking Clonidine?,Clonidine,warnings
en,Does Clonidine interact with other medicines?,Clonidine,interactions
en,Can Clonidine interact with other drugs?,Clonidine,interactions
en,What medicines can interact with Clonidine?,Clonidine,interactions
en,How should Clonidine be taken?,Clonidine,dosage
en,How do I take Clonidine?,Clonidine,dosage
en,What is the dosage information for Clonidine?,Clonidine,dosage
en,What is Ibuprofen?,Ibuprofen,medicine_info
en,Tell me about Ibuprofen.,Ibuprofen,medicine_info
en,What do I need to know about Ibuprofen?,Ibuprofen,medicine_info
en,What is Ibuprofen used for?,Ibuprofen,uses
en,Why is Ibuprofen used?,Ibuprofen,uses
en,What conditions is Ibuprofen used for?,Ibuprofen,uses
en,What are the side effects of Ibuprofen?,Ibuprofen,side_effects
en,Can Ibuprofen cause any side effects?,Ibuprofen,side_effects
en,What problems can Ibuprofen cause?,Ibuprofen,side_effects
en,Who should not take Ibuprofen?,Ibuprofen,contraindications
en,When should Ibuprofen not be used?,Ibuprofen,contraindications
en,Who should avoid Ibuprofen?,Ibuprofen,contraindications
en,What warnings should I know about Ibuprofen?,Ibuprofen,warnings
en,Are there any warnings about Ibuprofen?,Ibuprofen,warnings
en,What should I be careful about when taking Ibuprofen?,Ibuprofen,warnings
en,Does Ibuprofen interact with other medicines?,Ibuprofen,interactions
en,Can Ibuprofen interact with other drugs?,Ibuprofen,interactions
en,What medicines can interact with Ibuprofen?,Ibuprofen,interactions
en,How should Ibuprofen be taken?,Ibuprofen,dosage
en,How do I take Ibuprofen?,Ibuprofen,dosage
en,What is the dosage information for Ibuprofen?,Ibuprofen,dosage
en,What is Diclofenac?,Diclofenac,medicine_info
en,Tell me about Diclofenac.,Diclofenac,medicine_info
en,What do I need to know about Diclofenac?,Diclofenac,medicine_info
en,What is Diclofenac used for?,Diclofenac,uses
en,Why is Diclofenac used?,Diclofenac,uses
en,What conditions is Diclofenac used for?,Diclofenac,uses
en,What are the side effects of Diclofenac?,Diclofenac,side_effects
en,Can Diclofenac cause any side effects?,Diclofenac,side_effects
en,What problems can Diclofenac cause?,Diclofenac,side_effects
en,Who should not take Diclofenac?,Diclofenac,contraindications
en,When should Diclofenac not be used?,Diclofenac,contraindications
en,Who should avoid Diclofenac?,Diclofenac,contraindications
en,What warnings should I know about Diclofenac?,Diclofenac,warnings
en,Are there any warnings about Diclofenac?,Diclofenac,warnings
en,What should I be careful about when taking Diclofenac?,Diclofenac,warnings
en,Does Diclofenac interact with other medicines?,Diclofenac,interactions
en,Can Diclofenac interact with other drugs?,Diclofenac,interactions
en,What medicines can interact with Diclofenac?,Diclofenac,interactions
en,How should Diclofenac be taken?,Diclofenac,dosage
en,How do I take Diclofenac?,Diclofenac,dosage
en,What is the dosage information for Diclofenac?,Diclofenac,dosage
en,What is Naproxen?,Naproxen,medicine_info
en,Tell me about Naproxen.,Naproxen,medicine_info
en,What do I need to know about Naproxen?,Naproxen,medicine_info
en,What is Naproxen used for?,Naproxen,uses
en,Why is Naproxen used?,Naproxen,uses
en,What conditions is Naproxen used for?,Naproxen,uses
en,What are the side effects of Naproxen?,Naproxen,side_effects
en,Can Naproxen cause any side effects?,Naproxen,side_effects
en,What problems can Naproxen cause?,Naproxen,side_effects
en,Who should not take Naproxen?,Naproxen,contraindications
en,When should Naproxen not be used?,Naproxen,contraindications
en,Who should avoid Naproxen?,Naproxen,contraindications
en,What warnings should I know about Naproxen?,Naproxen,warnings
en,Are there any warnings about Naproxen?,Naproxen,warnings
en,What should I be careful about when taking Naproxen?,Naproxen,warnings
en,Does Naproxen interact with other medicines?,Naproxen,interactions
en,Can Naproxen interact with other drugs?,Naproxen,interactions
en,What medicines can interact with Naproxen?,Naproxen,interactions
en,How should Naproxen be taken?,Naproxen,dosage
en,How do I take Naproxen?,Naproxen,dosage
en,What is the dosage information for Naproxen?,Naproxen,dosage
en,What is Methotrexate?,Methotrexate,medicine_info
en,Tell me about Methotrexate.,Methotrexate,medicine_info
en,What do I need to know about Methotrexate?,Methotrexate,medicine_info
en,What is Methotrexate used for?,Methotrexate,uses
en,Why is Methotrexate used?,Methotrexate,uses
en,What conditions is Methotrexate used for?,Methotrexate,uses
en,What are the side effects of Methotrexate?,Methotrexate,side_effects
en,Can Methotrexate cause any side effects?,Methotrexate,side_effects
en,What problems can Methotrexate cause?,Methotrexate,side_effects
en,Who should not take Methotrexate?,Methotrexate,contraindications
en,When should Methotrexate not be used?,Methotrexate,contraindications
