language,query,medicine,intent
kn,Acarbose ಅನ್ನು ಹೇಗೆ ತೆಗೆದುಕೊಳ್ಳಬೇಕು?,Acarbose,dosage
en,What is the dosage information for Insulin Glargine?,Insulin Glargine,dosage
tulu,Acarbose ದೆಂದ್?,Acarbose,medicine_info
en,Why is Celecoxib used?,Celecoxib,uses
tulu,Chlorthalidone ಬಗ್ಗೆ ಎಚ್ಚರಿಕೆ ಉಂಡಾ?,Chlorthalidone,warnings
en,How should Enalapril be taken?,Enalapril,dosage
en,What should I be careful about when taking Atenolol?,Atenolol,warnings
kn,Amlodipine ಏಕೆ ಬಳಸಲಾಗುತ್ತದೆ?,Amlodipine,uses
kn,ಯಾವ ಔಷಧಿಗಳು Dapagliflozin ಜೊತೆ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಾಡಬಹುದು?,Dapagliflozin,interactions
tulu,Colchicine ಯಾನ್ ಎಂಚ ಉಪಯೋಗ ಮಲ್ಪುಲೆ?,Colchicine,dosage
en,Can Carvedilol cause any side effects?,Carvedilol,side_effects
kn,Chlorthalidone ಅನ್ನು ಯಾವಾಗ ಬಳಸಬಾರದು?,Chlorthalidone,contraindications
en,Who should avoid Amlodipine?,Amlodipine,contraindications
en,Who should not take Glimepiride?,Glimepiride,contraindications
kn,Atenolol ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿ.,Atenolol,medicine_info
tulu,Empagliflozin ಬಗ್ಗೆ ಎಂಚಿನ ಎಚ್ಚರಿಕೆ ಉಂಡು?,Empagliflozin,warnings
tulu,Hydroxychloroquine ಯಾನ್ ಎತ್ಕ್ ಉಪಯೋಗ ಆಪುಂಡು?,Hydroxychloroquine,uses
kn,Sitagliptin ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿ.,Sitagliptin,medicine_info
tulu,Atenolol ದೆತೊನುವಾಗ ಎಂಚಿನ ಎಚ್ಚರಿಕೆ ಕೊರ್ಲೆ?,Atenolol,warnings
tulu,Celecoxib ಯಾನ್ ಎಂಚ ಉಪಯೋಗ ಮಲ್ಪುಲೆ?,Celecoxib,dosage
kn,Empagliflozin ಅನ್ನು ಹೇಗೆ ತೆಗೆದುಕೊಳ್ಳಬೇಕು?,Empagliflozin,dosage
kn,Acarbose ನಿಂದ ಯಾವ ಸಮಸ್ಯೆಗಳು ಉಂಟಾಗಬಹುದು?,Acarbose,side_effects
tulu,Losartan ಯಾನ್ ಎತ್ ಕಾಯಿಲೆಗ್ ಉಪಯೋಗ ಆಪುಂಡು?,Losartan,uses
kn,Naproxen ಅನ್ನು ಯಾವುದಕ್ಕಾಗಿ ಬಳಸುತ್ತಾರೆ?,Naproxen,uses
en,What is the dosage information for Empagliflozin?,Empagliflozin,dosage
tulu,Metformin ದೆಂದ್?,Metformin,medicine_info
en,Can Methotrexate cause any side effects?,Methotrexate,side_effects
tulu,Metformin ಬೇತೆ ಮರ್ದ್‌ದೊಟ್ಟುಗು ಪ್ರತಿಕ್ರಿಯೆ ಮಲ್ಪುಂಡಾ?,Metformin,interactions
en,What problems can Metformin cause?,Metformin,side_effects
en,Why is Chlorthalidone used?,Chlorthalidone,uses
en,How should Telmisartan be taken?,Telmisartan,dosage
kn,Sulfasalazine ಏಕೆ ಬಳಸಲಾಗುತ್ತದೆ?,Sulfasalazine,uses
tulu,Chlorthalidone ಯಾನ್ ಎತ್ಕ್ ಉಪಯೋಗ ಆಪುಂಡು?,Chlorthalidone,uses
kn,Losartan ನಿಂದ ಯಾವ ಸಮಸ್ಯೆಗಳು ಉಂಟಾಗಬಹುದು?,Losartan,side_effects
kn,Colchicine ಅನ್ನು ಹೇಗೆ ತೆಗೆದುಕೊಳ್ಳಬೇಕು?,Colchicine,dosage
en,What should I be careful about when taking Leflunomide?,Leflunomide,warnings
en,Who should avoid Vildagliptin?,Vildagliptin,contraindications
en,What conditions is Glimepiride used for?,Glimepiride,uses
en,Can Vildagliptin interact with other drugs?,Vildagliptin,interactions
en,Why is Pioglitazone used?,Pioglitazone,uses
en,Tell me about Dapagliflozin.,Dapagliflozin,medicine_info
en,Who should not take Naproxen?,Naproxen,contraindications
tulu,Hydrochlorothiazide ದ ಅಡ್ಡ ಪರಿಣಾಮೊಲು ಎಂಚಿನವು?,Hydrochlorothiazide,side_effects
kn,Diclofenac ನ ಅಡ್ಡ ಪರಿಣಾಮಗಳು ಯಾವುವು?,Diclofenac,side_effects
tulu,ಎಂಚಿನ ಮರ್ದ್‌ಲು Telmisartan ಬೊಕ್ಕ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಲ್ಪುಂಡು?,Telmisartan,interactions
kn,Celecoxib ಯಾವ ಕಾಯಿಲೆಗೆ ಬಳಸಲಾಗುತ್ತದೆ?,Celecoxib,uses
tulu,Colchicine ದ ಬಗ್ಗೆ ಮಾಹಿತಿ ಕೊರ್ಲೆ.,Colchicine,medicine_info
tulu,Ramipril ಯಾನ್ ಎಂಚ ದೆತೊನ್ಬೇಕು?,Ramipril,dosage
kn,Dapagliflozin ನ ಅಡ್ಡ ಪರಿಣಾಮಗಳು ಯಾವುವು?,Dapagliflozin,side_effects
tulu,Celecoxib ಯಾನ್ ಯಾಕೆ ಉಪಯೋಗ ಮಲ್ಪುಂಡು?,Celecoxib,uses
en,What is Diclofenac?,Diclofenac,medicine_info
kn,Sitagliptin ಇತರ ಔಷಧಿಗಳೊಂದಿಗೆ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಾಡುತ್ತದೆಯೇ?,Sitagliptin,interactions
en,What is Hydrochlorothiazide used for?,Hydrochlorothiazide,uses
en,Who should not take Sitagliptin?,Sitagliptin,contraindications
kn,Methotrexate ಇತರ ಔಷಧಿಗಳೊಂದಿಗೆ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಾಡುತ್ತದೆಯೇ?,Methotrexate,interactions
kn,Dapagliflozin ನ ಡೋಸೇಜ್ ಮಾಹಿತಿ ಏನು?,Dapagliflozin,dosage
kn,Prednisolone ನ ಡೋಸೇಜ್ ಮಾಹಿತಿ ಏನು?,Prednisolone,dosage
tulu,Telmisartan ಯಾನ್ ಎಂಚ ಉಪಯೋಗ ಮಲ್ಪುಲೆ?,Telmisartan,dosage
tulu,Hydroxychloroquine ದಿಂದ ಅಡ್ಡ ಪರಿಣಾಮ ಆಪುಂಡಾ?,Hydroxychloroquine,side_effects
en,What is Ramipril used for?,Ramipril,uses
kn,Pioglitazone ಎಂದರೇನು?,Pioglitazone,medicine_info
en,When should Sulfasalazine not be used?,Sulfasalazine,contraindications
tulu,Metformin ಬಗ್ಗೆ ಎಚ್ಚರಿಕೆ ಉಂಡಾ?,Metformin,warnings
tulu,Pioglitazone ಬಗ್ಗೆ ಎಂಕ್ ಏನ್ ಗೊತ್ತ್ ಆಪುನ?,Pioglitazone,medicine_info
kn,Telmisartan ಯಾವ ಕಾಯಿಲೆಗೆ ಬಳಸಲಾಗುತ್ತದೆ?,Telmisartan,uses
tulu,Enalapril ಯಾನ್ ಎತ್ ಕಾಯಿಲೆಗ್ ಉಪಯೋಗ ಆಪುಂಡು?,Enalapril,uses
tulu,Vildagliptin ದಿಂದ ಅಡ್ಡ ಪರಿಣಾಮ ಆಪುಂಡಾ?,Vildagliptin,side_effects
tulu,Atenolol ಯಾನ್ ಎಂಚ ಉಪಯೋಗ ಮಲ್ಪುಲೆ?,Atenolol,dosage
tulu,Vildagliptin ದೆಂದ್?,Vildagliptin,medicine_info
en,What warnings should I know about Diclofenac?,Diclofenac,warnings
kn,Sitagliptin ನ ಅಡ್ಡ ಪರಿಣಾಮಗಳು ಯಾವುವು?,Sitagliptin,side_effects
tulu,Methotrexate ಯಾನ್ ಯಾರೆ ದೆತೊನ್ಬಾರದು?,Methotrexate,contraindications
en,When should Acarbose not be used?,Acarbose,contraindications
tulu,Leflunomide ಬಗ್ಗೆ ಎಚ್ಚರಿಕೆ ಉಂಡಾ?,Leflunomide,warnings
tulu,Diclofenac ಬೊಕ್ಕ ಬೇತೆ ಮರ್ದ್‌ಲು ಒಟ್ಟುಗು ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಲ್ಪುಂಡಾ?,Diclofenac,interactions
tulu,Hydrochlorothiazide ಯಾನ್ ಯಾರೆ ದೆತೊನ್ಬಾರದು?,Hydrochlorothiazide,contraindications
kn,Carvedilol ನಿಂದ ಯಾವ ಸಮಸ್ಯೆಗಳು ಉಂಟಾಗಬಹುದು?,Carvedilol,side_effects
kn,Acarbose ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿ.,Acarbose,medicine_info
en,What are the side effects of Atenolol?,Atenolol,side_effects
en,What warnings should I know about Losartan?,Losartan,warnings
kn,Prednisolone ಅಡ್ಡ ಪರಿಣಾಮಗಳನ್ನು ಉಂಟುಮಾಡಬಹುದೇ?,Prednisolone,side_effects
en,Who should avoid Sulfasalazine?,Sulfasalazine,contraindications
en,Who should not take Telmisartan?,Telmisartan,contraindications
tulu,ಯಾರೆ Pioglitazone ಯಾನ್ ತಪ್ಪಿಸಾಯೆರೆ?,Pioglitazone,contraindications
en,What problems can Ramipril cause?,Ramipril,side_effects
kn,Ibuprofen ನ ಡೋಸೇಜ್ ಮಾಹಿತಿ ಏನು?,Ibuprofen,dosage
en,What medicines can interact with Hydrochlorothiazide?,Hydrochlorothiazide,interactions
tulu,Dapagliflozin ದ ಅಡ್ಡ ಪರಿಣಾಮೊಲು ಎಂಚಿನವು?,Dapagliflozin,side_effects
en,Who should not take Glipizide?,Glipizide,contraindications
tulu,Enalapril ದ ಬಗ್ಗೆ ಮಾಹಿತಿ ಕೊರ್ಲೆ.,Enalapril,medicine_info
kn,Ramipril ನಿಂದ ಯಾವ ಸಮಸ್ಯೆಗಳು ಉಂಟಾಗಬಹುದು?,Ramipril,side_effects
kn,Telmisartan ಅನ್ನು ಯಾರು ತೆಗೆದುಕೊಳ್ಳಬಾರದು?,Telmisartan,contraindications
kn,Chlorthalidone ನಿಂದ ಯಾವ ಸಮಸ್ಯೆಗಳು ಉಂಟಾಗಬಹುದು?,Chlorthalidone,side_effects
en,Does Pioglitazone interact with other medicines?,Pioglitazone,interactions
kn,Glimepiride ಅನ್ನು ಯಾವಾಗ ಬಳಸಬಾರದು?,Glimepiride,contraindications
kn,ಯಾರು Colchicine ಅನ್ನು ತಪ್ಪಿಸಬೇಕು?,Colchicine,contraindications
tulu,Colchicine ದೆಂದ್?,Colchicine,medicine_info
kn,Dapagliflozin ಅಡ್ಡ ಪರಿಣಾಮಗಳನ್ನು ಉಂಟುಮಾಡಬಹುದೇ?,Dapagliflozin,side_effects
kn,Insulin Glargine ನ ಅಡ್ಡ ಪರಿಣಾಮಗಳು ಯಾವುವು?,Insulin Glargine,side_effects
en,What are the side effects of Enalapril?,Enalapril,side_effects
en,Can Amlodipine cause any side effects?,Amlodipine,side_effects
tulu,ಎಂಚಿನ ಮರ್ದ್‌ಲು Sitagliptin ಬೊಕ್ಕ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಲ್ಪುಂಡು?,Sitagliptin,interactions
en,How should Sitagliptin be taken?,Sitagliptin,dosage
tulu,Hydroxychloroquine ಯಾನ್ ಯಾಕೆ ಉಪಯೋಗ ಮಲ್ಪುಂಡು?,Hydroxychloroquine,uses
en,What is the dosage information for Naproxen?,Naproxen,dosage
kn,ಯಾವ ಔಷಧಿಗಳು Naproxen ಜೊತೆ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಾಡಬಹುದು?,Naproxen,interactions
en,What medicines can interact with Diclofenac?,Diclofenac,interactions
en,What problems can Celecoxib cause?,Celecoxib,side_effects
tulu,Ramipril ಬಗ್ಗೆ ಎಂಕ್ ಏನ್ ಗೊತ್ತ್ ಆಪುನ?,Ramipril,medicine_info
kn,Colchicine ನ ಅಡ್ಡ ಪರಿಣಾಮಗಳು ಯಾವುವು?,Colchicine,side_effects
en,What should I be careful about when taking Naproxen?,Naproxen,warnings
tulu,Acarbose ದ ಡೋಸೇಜ್ ಮಾಹಿತಿ ಎಂಚಿನದು?,Acarbose,dosage
en,Tell me about Methotrexate.,Methotrexate,medicine_info
en,What problems can Prednisolone cause?,Prednisolone,side_effects
tulu,Vildagliptin ದ ಅಡ್ಡ ಪರಿಣಾಮೊಲು ಎಂಚಿನವು?,Vildagliptin,side_effects
tulu,Hydroxychloroquine ದೆಂದ್?,Hydroxychloroquine,medicine_info
kn,Insulin Glargine ಇತರ ಔಷಧಿಗಳೊಂದಿಗೆ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಾಡುತ್ತದೆಯೇ?,Insulin Glargine,interactions
tulu,Sitagliptin ಯಾನ್ ಎಂಚ ದೆತೊನ್ಬೇಕು?,Sitagliptin,dosage
tulu,Methotrexate ಬಗ್ಗೆ ಎಂಕ್ ಏನ್ ಗೊತ್ತ್ ಆಪುನ?,Methotrexate,medicine_info
kn,Dapagliflozin ಎಂದರೇನು?,Dapagliflozin,medicine_info
en,What is the dosage information for Pioglitazone?,Pioglitazone,dosage
tulu,Vildagliptin ಬೇತೆ ಮರ್ದ್‌ದೊಟ್ಟುಗು ಪ್ರತಿಕ್ರಿಯೆ ಮಲ್ಪುಂಡಾ?,Vildagliptin,interactions
tulu,Pioglitazone ದೆಂದ್?,Pioglitazone,medicine_info
en,How do I take Hydroxychloroquine?,Hydroxychloroquine,dosage
kn,Pioglitazone ತೆಗೆದುಕೊಳ್ಳುವಾಗ ನಾನು ಯಾವುದರ ಬಗ್ಗೆ ಎಚ್ಚರಿಕೆಯಿಂದ ಇರಬೇಕು?,Pioglitazone,warnings
kn,Celecoxib ನ ಅಡ್ಡ ಪರಿಣಾಮಗಳು ಯಾವುವು?,Celecoxib,side_effects
en,What medicines can interact with Vildagliptin?,Vildagliptin,interactions
tulu,Clonidine ದ ಬಗ್ಗೆ ಮಾಹಿತಿ ಕೊರ್ಲೆ.,Clonidine,medicine_info
en,What medicines can interact with Glimepiride?,Glimepiride,interactions
kn,Hydroxychloroquine ಬಗ್ಗೆ ಯಾವ ಎಚ್ಚರಿಕೆಗಳನ್ನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು?,Hydroxychloroquine,warnings
tulu,Diclofenac ಯಾನ್ ಯಾನ್ ಸಮಯಡ್ ದೆತೊನ್ಬಾರದು?,Diclofenac,contraindications
kn,Sulfasalazine ಅನ್ನು ಯಾರು ತೆಗೆದುಕೊಳ್ಳಬಾರದು?,Sulfasalazine,contraindications
en,When should Carvedilol not be used?,Carvedilol,contraindications
tulu,Vildagliptin ಬೊಕ್ಕ ಬೇತೆ ಮರ್ದ್‌ಲು ಒಟ್ಟುಗು ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಲ್ಪುಂಡಾ?,Vildagliptin,interactions
en,Tell me about Colchicine.,Colchicine,medicine_info
kn,Insulin Glargine ಇತರ ಔಷಧಿಗಳೊಂದಿಗೆ ಪ್ರತಿಕ್ರಿಯಿಸಬಹುದೇ?,Insulin Glargine,interactions
tulu,Losartan ದಿಂದ ಎಂಚಿನ ಸಮಸ್ಯೆ ಆಪುಂಡು?,Losartan,side_effects
kn,Enalapril ಇತರ ಔಷಧಿಗಳೊಂದಿಗೆ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಾಡುತ್ತದೆಯೇ?,Enalapril,interactions
en,Are there any warnings about Amlodipine?,Amlodipine,warnings
kn,Losartan ಬಗ್ಗೆ ನಾನು ಏನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು?,Losartan,medicine_info
tulu,Amlodipine ಯಾನ್ ಯಾನ್ ಸಮಯಡ್ ದೆತೊನ್ಬಾರದು?,Amlodipine,contraindications
kn,ಯಾರು Naproxen ಅನ್ನು ತಪ್ಪಿಸಬೇಕು?,Naproxen,contraindications
kn,Diclofenac ಬಗ್ಗೆ ಯಾವ ಎಚ್ಚರಿಕೆಗಳನ್ನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು?,Diclofenac,warnings
tulu,Clonidine ಯಾನ್ ಯಾಕೆ ಉಪಯೋಗ ಮಲ್ಪುಂಡು?,Clonidine,uses
en,What conditions is Carvedilol used for?,Carvedilol,uses
en,Can Glipizide cause any side effects?,Glipizide,side_effects
kn,Sitagliptin ಅನ್ನು ಹೇಗೆ ಬಳಸಬೇಕು?,Sitagliptin,dosage
kn,Celecoxib ನ ಡೋಸೇಜ್ ಮಾಹಿತಿ ಏನು?,Celecoxib,dosage
en,Why is Methotrexate used?,Methotrexate,uses
kn,Glipizide ಅಡ್ಡ ಪರಿಣಾಮಗಳನ್ನು ಉಂಟುಮಾಡಬಹುದೇ?,Glipizide,side_effects
tulu,ಎಂಚಿನ ಮರ್ದ್‌ಲು Ramipril ಬೊಕ್ಕ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಲ್ಪುಂಡು?,Ramipril,interactions
tulu,Naproxen ಯಾನ್ ಎತ್ಕ್ ಉಪಯೋಗ ಆಪುಂಡು?,Naproxen,uses
kn,ಯಾವ ಔಷಧಿಗಳು Acarbose ಜೊತೆ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಾಡಬಹುದು?,Acarbose,interactions
tulu,Naproxen ಯಾನ್ ಎಂಚ ದೆತೊನ್ಬೇಕು?,Naproxen,dosage
tulu,Enalapril ದ ಅಡ್ಡ ಪರಿಣಾಮೊಲು ಎಂಚಿನವು?,Enalapril,side_effects
tulu,Glimepiride ಯಾನ್ ಎಂಚ ಉಪಯೋಗ ಮಲ್ಪುಲೆ?,Glimepiride,dosage
en,What warnings should I know about Methotrexate?,Methotrexate,warnings
tulu,Glimepiride ಬಗ್ಗೆ ಎಂಚಿನ ಎಚ್ಚರಿಕೆ ಉಂಡು?,Glimepiride,warnings
en,What do I need to know about Clonidine?,Clonidine,medicine_info
kn,Vildagliptin ಅನ್ನು ಹೇಗೆ ಬಳಸಬೇಕು?,Vildagliptin,dosage
kn,Ibuprofen ಯಾವ ಕಾಯಿಲೆಗೆ ಬಳಸಲಾಗುತ್ತದೆ?,Ibuprofen,uses
en,Can Naproxen cause any side effects?,Naproxen,side_effects
kn,Diclofenac ಅನ್ನು ಯಾವುದಕ್ಕಾಗಿ ಬಳಸುತ್ತಾರೆ?,Diclofenac,uses
kn,Vildagliptin ಅನ್ನು ಹೇಗೆ ತೆಗೆದುಕೊಳ್ಳಬೇಕು?,Vildagliptin,dosage
tulu,Telmisartan ಬಗ್ಗೆ ಎಂಚಿನ ಎಚ್ಚರಿಕೆ ಉಂಡು?,Telmisartan,warnings
kn,Ramipril ಅನ್ನು ಯಾವುದಕ್ಕಾಗಿ ಬಳಸುತ್ತಾರೆ?,Ramipril,uses
en,What warnings should I know about Colchicine?,Colchicine,warnings
en,Does Acarbose interact with other medicines?,Acarbose,interactions
tulu,Amlodipine ಬಗ್ಗೆ ಎಂಕ್ ಏನ್ ಗೊತ್ತ್ ಆಪುನ?,Amlodipine,medicine_info
kn,Atenolol ಯಾವ ಕಾಯಿಲೆಗೆ ಬಳಸಲಾಗುತ್ತದೆ?,Atenolol,uses
tulu,Glimepiride ಬೊಕ್ಕ ಬೇತೆ ಮರ್ದ್‌ಲು ಒಟ್ಟುಗು ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಲ್ಪುಂಡಾ?,Glimepiride,interactions
tulu,Amlodipine ಯಾನ್ ಎತ್ಕ್ ಉಪಯೋಗ ಆಪುಂಡು?,Amlodipine,uses
tulu,Telmisartan ಯಾನ್ ಯಾಕೆ ಉಪಯೋಗ ಮಲ್ಪುಂಡು?,Telmisartan,uses
en,What are the side effects of Metformin?,Metformin,side_effects
en,Does Diclofenac interact with other medicines?,Diclofenac,interactions
tulu,Ibuprofen ಬಗ್ಗೆ ಎಂಕ್ ಏನ್ ಗೊತ್ತ್ ಆಪುನ?,Ibuprofen,medicine_info
en,How should Insulin Glargine be taken?,Insulin Glargine,dosage
kn,Hydroxychloroquine ಎಂದರೇನು?,Hydroxychloroquine,medicine_info
en,What is Ramipril?,Ramipril,medicine_info
tulu,Amlodipine ದ ಡೋಸೇಜ್ ಮಾಹಿತಿ ಎಂಚಿನದು?,Amlodipine,dosage
kn,Celecoxib ಬಗ್ಗೆ ನಾನು ಏನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು?,Celecoxib,medicine_info
kn,Hydrochlorothiazide ಬಗ್ಗೆ ನಾನು ಏನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು?,Hydrochlorothiazide,medicine_info
tulu,Losartan ಬಗ್ಗೆ ಎಂಚಿನ ಎಚ್ಚರಿಕೆ ಉಂಡು?,Losartan,warnings
tulu,Methotrexate ದ ಡೋಸೇಜ್ ಮಾಹಿತಿ ಎಂಚಿನದು?,Methotrexate,dosage
kn,Hydrochlorothiazide ಬಗ್ಗೆ ಯಾವುದೇ ಎಚ್ಚರಿಕೆಗಳಿವೆಯೇ?,Hydrochlorothiazide,warnings
tulu,Chlorthalidone ಯಾನ್ ಯಾನ್ ಸಮಯಡ್ ದೆತೊನ್ಬಾರದು?,Chlorthalidone,contraindications
en,Can Hydroxychloroquine cause any side effects?,Hydroxychloroquine,side_effects
tulu,Acarbose ಯಾನ್ ಎಂಚ ದೆತೊನ್ಬೇಕು?,Acarbose,dosage
en,What should I be careful about when taking Clonidine?,Clonidine,warnings
en,Does Hydrochlorothiazide interact with other medicines?,Hydrochlorothiazide,interactions
kn,Amlodipine ನ ಅಡ್ಡ ಪರಿಣಾಮಗಳು ಯಾವುವು?,Amlodipine,side_effects
en,Who should avoid Chlorthalidone?,Chlorthalidone,contraindications
kn,Metformin ಅನ್ನು ಯಾವಾಗ ಬಳಸಬಾರದು?,Metformin,contraindications
en,What problems can Acarbose cause?,Acarbose,side_effects
en,How should Clonidine be taken?,Clonidine,dosage
en,What should I be careful about when taking Losartan?,Losartan,warnings
tulu,Sitagliptin ಯಾನ್ ಯಾಕೆ ಉಪಯೋಗ ಮಲ್ಪುಂಡು?,Sitagliptin,uses
tulu,Clonidine ಬಗ್ಗೆ ಎಂಕ್ ಏನ್ ಗೊತ್ತ್ ಆಪುನ?,Clonidine,medicine_info
en,Who should not take Prednisolone?,Prednisolone,contraindications
kn,Acarbose ಅನ್ನು ಯಾರು ತೆಗೆದುಕೊಳ್ಳಬಾರದು?,Acarbose,contraindications
tulu,Telmisartan ಬಗ್ಗೆ ಎಂಕ್ ಏನ್ ಗೊತ್ತ್ ಆಪುನ?,Telmisartan,medicine_info
kn,Sulfasalazine ನಿಂದ ಯಾವ ಸಮಸ್ಯೆಗಳು ಉಂಟಾಗಬಹುದು?,Sulfasalazine,side_effects
en,Tell me about Glipizide.,Glipizide,medicine_info
